ts,run_id,component,operation,metric,value_ms,program_id,service_id
1776634285,1776634285-1,integration_process,read,read_request_response_ms,16.521895,outside-direct,store-service
1776634285,1776634285-1,integration_process,read,read_parse_ms,0.003460,outside-direct,store-service
1776634285,1776634285-1,integration_process,read,read_act_total_ms,25.047207,outside-direct,store-service
1776634285,1776634285-1,integration_process,execute,execute_total_ms,25.056547,outside-direct,
1776634289203,,digital_service,request,retrieveLocalData_ms,3.821888,outside-direct,store-service
1776634289203,,digital_service,request,request_total_ms,4.086773,outside-direct,store-service
1776634289,1776634289-1,integration_process,read,read_tls_setup_ms,5.612080,outside-direct,store-service
1776634289,1776634289-1,integration_process,read,read_request_response_ms,16.034327,outside-direct,store-service
1776634289,1776634289-1,integration_process,read,read_parse_ms,0.003119,outside-direct,store-service
1776634289,1776634289-1,integration_process,read,read_act_total_ms,24.554598,outside-direct,store-service
1776634289,1776634289-1,integration_process,execute,execute_total_ms,24.564097,outside-direct,
1776634293079,,digital_service,request,retrieveLocalData_ms,3.792007,outside-direct,store-service
1776634293079,,digital_service,request,request_total_ms,4.028071,outside-direct,store-service
1776634293,1776634293-1,integration_process,read,read_tls_setup_ms,5.599700,outside-direct,store-service
1776634293,1776634293-1,integration_process,read,read_request_response_ms,16.491796,outside-direct,store-service
1776634293,1776634293-1,integration_process,read,read_parse_ms,0.003800,outside-direct,store-service
1776634293,1776634293-1,integration_process,read,read_act_total_ms,24.979166,outside-direct,store-service
1776634293,1776634293-1,integration_process,execute,execute_total_ms,24.989006,outside-direct,
1776634297060,,digital_service,request,retrieveLocalData_ms,3.803368,outside-direct,store-service
1776634297060,,digital_service,request,request_total_ms,4.045551,outside-direct,store-service
1776634297,1776634297-1,integration_process,read,read_tls_setup_ms,5.621000,outside-direct,store-service
1776634297,1776634297-1,integration_process,read,read_request_response_ms,16.549075,outside-direct,store-service
1776634297,1776634297-1,integration_process,read,read_parse_ms,0.003480,outside-direct,store-service
1776634297,1776634297-1,integration_process,read,read_act_total_ms,25.102647,outside-direct,store-service
1776634297,1776634297-1,integration_process,execute,execute_total_ms,25.111710,outside-direct,
1776634311742,,digital_service,request,retrieveLocalData_ms,3.819448,outside-direct,store-service
1776634311742,,digital_service,request,request_total_ms,4.063872,outside-direct,store-service
1776634311,1776634311-1,integration_process,read,read_tls_setup_ms,5.697582,outside-direct,store-service
1776634311,1776634311-1,integration_process,read,read_request_response_ms,16.584556,outside-direct,store-service
1776634311,1776634311-1,integration_process,read,read_parse_ms,0.003320,outside-direct,store-service
1776634311,1776634311-1,integration_process,read,read_act_total_ms,25.229330,outside-direct,store-service
1776634311,1776634311-1,integration_process,execute,execute_total_ms,25.239190,outside-direct,
1776634315109,,digital_service,request,retrieveLocalData_ms,3.802527,outside-direct,store-service
1776634315109,,digital_service,request,request_total_ms,4.039752,outside-direct,store-service
1776634315,1776634315-1,integration_process,read,read_tls_setup_ms,5.583039,outside-direct,store-service
1776634315,1776634315-1,integration_process,read,read_request_response_ms,16.611696,outside-direct,store-service
1776634315,1776634315-1,integration_process,read,read_parse_ms,0.003480,outside-direct,store-service
1776634315,1776634315-1,integration_process,read,read_act_total_ms,25.156487,outside-direct,store-service
1776634315,1776634315-1,integration_process,execute,execute_total_ms,25.165589,outside-direct,
1776634318961,,digital_service,request,retrieveLocalData_ms,3.842048,outside-direct,store-service
1776634318961,,digital_service,request,request_total_ms,4.085431,outside-direct,store-service
1776634318,1776634318-1,integration_process,read,read_tls_setup_ms,5.617682,outside-direct,store-service
1776634318,1776634318-1,integration_process,read,read_request_response_ms,16.583116,outside-direct,store-service
1776634318,1776634318-1,integration_process,read,read_parse_ms,0.003120,outside-direct,store-service
1776634318,1776634318-1,integration_process,read,read_act_total_ms,25.086509,outside-direct,store-service
1776634318,1776634318-1,integration_process,execute,execute_total_ms,25.123788,outside-direct,
1776634321978,,digital_service,request,retrieveLocalData_ms,3.806607,outside-direct,store-service
1776634321978,,digital_service,request,request_total_ms,4.039412,outside-direct,store-service
1776634321,1776634321-1,integration_process,read,read_tls_setup_ms,5.591539,outside-direct,store-service
1776634321,1776634321-1,integration_process,read,read_request_response_ms,16.546915,outside-direct,store-service
1776634321,1776634321-1,integration_process,read,read_parse_ms,0.003200,outside-direct,store-service
1776634321,1776634321-1,integration_process,read,read_act_total_ms,25.110768,outside-direct,store-service
1776634321,1776634321-1,integration_process,execute,execute_total_ms,25.119808,outside-direct,
1776634325350,,digital_service,request,retrieveLocalData_ms,3.797789,outside-direct,store-service
1776634325350,,digital_service,request,request_total_ms,4.037672,outside-direct,store-service
1776634325,1776634325-1,integration_process,read,read_tls_setup_ms,5.608300,outside-direct,store-service
1776634325,1776634325-1,integration_process,read,read_request_response_ms,16.548656,outside-direct,store-service
1776634325,1776634325-1,integration_process,read,read_parse_ms,0.003099,outside-direct,store-service
1776634325,1776634325-1,integration_process,read,read_act_total_ms,25.080546,outside-direct,store-service
