ts,run_id,component,operation,metric,value_ms,program_id,service_id
1776621090306,,launcher,start,start_total_ms,58.521246,41,
1776621112078,,launcher,start,retrieveProgram_ms,0.029621,42,
1776621112379,,launcher,start,compile_ms,301.374028,42,
1776621118704,,launcher,start,retrieveProgram_ms,0.029299,42,
1776621118704,,launcher,start,createCompartment_ms,0.001760,42,
1776621118704,,launcher,start,deploy_ms,0.000919,42,
1776621118704,,launcher,start,getIntegratedServices_ms,0.003119,42,
1776621118704,,launcher,start,exchangeKeys_ms,0.003800,42,
1776621118705,,launcher,start,generateAttestableDoc_ms,0.185982,42,
1776621118706,,launcher,start,generateCertificate_ms,0.845195,42,
1776621118706,,launcher,start,sign_ms,0.000759,42,
1776621118744,1776621118-1,launcher,read_write,lookupService_ms,0.010079,42,store-service
1776621118744,1776621118-1,launcher,read_write,getCertificate_ms,0.236546,42,
1776621118744,1776621118-1,launcher,read_write,getProgramPublicKey_ms,0.105262,42,
1776621118,1776621118-1,integration_process,read,decrypt_ms,0.008320,42,store-service
1776621118,1776621118-1,integration_process,read,read_act_total_ms,33.714563,42,store-service
1776621118,1776621118-1,integration_process,execute,execute_total_ms,33.733104,42,
1776621118762,,launcher,start,run_ms,56.008000,42,
1776621118762,,launcher,start,start_total_ms,58.534448,42,
